,Country,Birth Rate,Cancer Rate,Dengue_Cases,EPI,GDP(US$mil),Health Expenditure,Heart Disease Rate,Population,Area(km²),Pop_density,Stroke Rate,Life Expectancy
155,laos,28.0,135.67,14659.0,42.94,18434,,167.41,6230200.0,237955.0,26.2,122.62,65.51
156,turkmenistan,21.7,110.62,,66.1,44114,222,411.1,5479800.0,491210.0,11.2,170.8,65.39
157,madagascar,33.5,129.3,,33.73,12093,22,88.59,20146442.0,587041.0,34.3,122.95,64.5
158,namibia,,69.06,,58.46,13824,492,116.09,2212037.0,825615.0,2.7,91.52,64.34
159,botswana,24.8,72.93,,51.7,18998,381,107.42,2029307.0,581730.0,3.5,98.02,64.12
160,tanzania,39.8,107.61,,50.83,57862,,85.3,43187823.0,947303.0,45.6,76.58,64.04
161,gabon,,62.69,,45.05,17033,217,98.2,1501266.0,267667.0,5.6,103.58,63.65
162,yemen,35.9,69.45,,,26914,68,298.84,23153982.0,527968.0,43.9,164.35,63.51
163,rwanda,42.1,149.02,,43.68,9511,55,76.86,10412820.0,26338.0,395.4,80.7,63.14
164,ethiopia,35.7,92.21,,44.78,80279,17,106.06,83483000.0,1104300.0,75.6,89.82,63.13
165,sudan,32.6,80.5,,51.49,33903,104,227.35,42338426.0,1886068.0,22.4,136.47,63.08
166,eritrea,33.6,106.23,,39.34,6721,18,93.11,5223994.0,117600.0,44.4,122.03,63.07
167,comoros,29.4,96.37,,44.24,742,67,92.29,,,,117.68,62.83
168,mauritania,33.2,67.3,,39.24,5194,40,126.7,3217383.0,1030000.0,3.1,112.3,62.77
169,papua new guinea,30.9,,,39.35,21319,42,,6744955.0,462840.0,14.6,,62.31
170,haiti,26.0,96.07,,33.74,9525,69,161.82,9855000.0,27750.0,355.1,139.82,62.29
171,djibouti,26.5,82.15,,40.04,2187,55,86.76,,,,93.57,61.61
172,congo,42.5,70.74,,,,55,102.16,,,,101.88,61.42
173,ghana,30.8,79.3,,49.66,65191,86,155.08,24223431.0,239567.0,101.1,160.1,61.03
174,malawi,44.6,156.9,,49.21,6925,33,85.23,13947592.0,118484.0,117.7,72.01,60.97
175,niger,46.0,55.17,,35.74,9226,22,116.43,15203822.0,1267000.0,12.0,114.59,60.65
176,kenya,36.1,149.01,,47.25,89205,62,44.2,40862900.0,580367.0,70.4,66.9,60.62
177,liberia,36.1,81.14,,41.62,3249,33,110.97,4101767.0,111369.0,36.8,107.18,60.25
178,gambia,34.6,58.92,,42.42,,32,142.6,1750732.0,10689.0,163.8,136.82,59.83
179,afghanistan,45.1,118.5,,37.74,19585,46,263.34,24485600.0,652864.0,37.5,154.41,59.82
180,benin,37.3,68.91,,38.17,10456,31,151.46,9211741.0,114763.0,80.3,141.07,59.2
181,togo,30.9,91.93,,41.78,5358,31,145.94,6191155.0,56785.0,109.0,143.6,59.01
182,zambia,43.6,112.19,,50.97,25179,67,85.07,13257269.0,752618.0,17.6,64.18,58.75
183,democratic republic of the congo,31.9,,,,,13,,67827496.0,2345409.0,28.9,,58.1
184,burkina faso,45.0,88.27,,42.83,14180,34,170.63,15730977.0,274200.0,57.4,94.36,58.07
185,guinea,37.3,80.65,,46.62,11739,20,115.65,10323755.0,245836.0,42.0,116.39,58.04
186,uganda,44.1,158.91,,44.28,28122,63,65.39,31784600.0,241038.0,131.9,91.84,57.25
187,mali,45.4,91.76,,43.71,17187,31,144.2,15370000.0,1240192.0,12.4,138.9,57.23
188,equatorial guinea,37.4,,,60.4,13734,263,,1313000.0,28050.0,46.8,,57.13
189,south africa,21.0,152.09,,44.73,368135,540,114.02,49991300.0,1221037.0,40.9,93.76,57.11
190,burundi,33.3,133.56,,27.43,3436,26,78.73,8518862.0,27834.0,306.1,101.45,56.07
191,south sudan,36.8,123.38,,,3929,:,73.85,,,,85.0,55.06
192,somalia,42.3,118.23,,,,,68.56,9358602.0,637657.0,14.7,91.16,54.88
193,cameroon,34.2,82.8,,40.81,38521,59,124.42,19958352.0,475442.0,42.0,136.18,54.87
194,zimbabwe,29.2,117.18,,43.41,26127,78,77.38,12644041.0,390757.0,32.4,63.38,54.78
195,guinea-bissau,39.4,71.41,,44.67,1459,34,129.92,1647380.0,36125.0,45.6,123.07,54.72
196,mozambique,41.4,146.7,,46.37,14428,21,77.78,22416881.0,801590.0,28.0,109.43,54.63
197,nigeria,36.9,95.59,,54.76,397270,76,117.12,158258917.0,923768.0,171.3,120.0,52.29
198,angola,40.9,82.46,,37.44,107316,97,128.73,18992708.0,1246700.0,15.2,142.27,51.68
199,chad,43.2,84.59,,45.34,10919,36,124.86,11714904.0,1284000.0,9.1,133.05,51.13
200,côte d'ivoire,,,,45.25,43032,75,,,,,,50.97
201,sierra leone,38.4,76.06,,42.54,3906,37,188.09,5835664.0,71740.0,81.3,184.54,50.19
202,central african republic,33.2,,,36.42,2185,17,,4505945.0,622984.0,7.2,,49.53
203,lesotho,30.4,95.19,,33.78,2762,80,124.75,1891830.0,30355.0,62.3,116.53,49.5
204,eswatini (swaziland),31.1,,,,,,,,,,,49.18
205,andorra,10.2,,,,,4596,,,,,,
206,ivory coast,32.8,,,,,,,,,,,
207,dominica,12.8,,,59.38,494,350,,,,,,
208,france,12.6,136.23,644.0,83.95,2775252,4385,43.25,62791013.0,640679.0,98.0,23.16,
209,france,12.6,136.23,418.0,83.95,2775252,4385,43.25,62791013.0,640679.0,98.0,23.16,
210,france,12.6,136.23,75.0,83.95,2775252,4385,43.25,62791013.0,640679.0,98.0,23.16,
211,liechtenstein,10.9,,,,,,,,,,,
212,macedonia,11.1,135.97,,61.06,,,121.15,2052722.0,25713.0,79.8,130.87,
213,marshall islands,31.1,,,,214,607,,,,,,
214,f.s. micronesia,23.5,,,,,,,,,,,
215,monaco,27.3,,,,,3370,,,,,,
216,nauru,29.7,,,,,665,,,,,,
217,palau,13.6,,,,297,1038,,,,,,
218,saint kitts and nevis,12.5,,,,,785,,,,,,
219,san marino,10.2,,,,1638,3974,,,,,,
220,tuvalu,22.9,,,,45,440,,,,,,
221,western sahara (sahrawi),21.9,,,,,,,,,,,
222,anguilla (uk),11.1,,,,,,,,,,,
223,aruba (netherlands),10.6,,,,,,,,,,,
224,bermuda (uk),11.9,,,,,,,,,,,
225,british virgin islands,10.1,,,,,,,,,,,
226,cayman islands (uk),14.5,,,,,,,,,,,
227,"guernsey (channel islands, uk)",10.1,,,,,,,,,,,
228,"jersey (channel islands, uk)",11.3,,,,,,,,,,,
229,cook islands (new zealand),16.8,,,,,,,,,,,
230,curaçao (netherlands),13.6,,,,,,,,,,,
231,falkland islands (uk),9.0,,,,,,,,,,,
232,faroe islands (denmark),11.9,,,,,,,,,,,
233,gibraltar (uk),14.9,,,,,,,,,,,
234,greenland (denmark),14.5,,,,,,,,,,,
235,guadeloupe (france),13.6,,,,,,,,,,,
236,guam (usa),20.6,,,,,,,,,,,
237,french guiana,26.1,,,,,,,,,,,
238,hong kong (china),13.5,,,,,,,,,,,
239,isle of man (uk),12.3,,,,,,,,,,,
240,kosovo,19.1,,,,7981,,,2208107.0,10908.0,202.4,,
241,macau (china),10.6,,,,,,,,,,,
242,martinique (france),13.0,,,,,,,,,,,
243,mayotte (france),23.2,,,,,,,,,,,
244,montserrat (uk),9.3,,,,,,,,,,,
245,new caledonia (france),16.7,,,,,,,,,,,
246,niue (new zealand),14.8,,,,,,,,,,,
247,northern mariana islands (usa),20.7,,,,,,,,,,,
248,pitcairn islands (uk),12.3,,,,,,,,,,,
249,french polynesia,17.0,,,,,,,,,,,
250,puerto rico (usa),11.4,,,,,,,,,,,
251,réunion (france),17.0,,,,,,,,,,,
252,saint barthélemy (france),10.2,,,,,,,,,,,
253,"saint helena, ascension and tristan da cunha (uk)",8.5,,,,,,,,,,,
254,saint martin (france),16.6,,,,,,,,,,,
255,saint pierre and miquelon (france),8.3,,,,,,,,,,,
256,american samoa,23.5,,,,,,,,,,,
257,sint maarten (netherlands),13.0,,,,,,,,,,,
258,tokelau (new zealand),22.1,,,,,,,,,,,
259,turks and caicos islands (uk),14.8,,,,,,,,,,,
260,u.s. virgin islands,11.1,,,,,,,,,,,
261,wallis and futuna (france),13.4,,,,,,,,,,,
262,new guinea,,174.8,,,,,159.17,,,,138.34,
263,saint vincent,,163.18,,,,,149.34,,,,93.56,
264,sao tome,,126.58,,,,,94.7,,,,112.64,
265,trinidad/tob.,,123.29,,,,,154.33,,,,75.02,
266,antigua/bar.,,119.09,,,,,87.16,,,,47.9,
267,dominican rep.,,114.41,,,,,129.96,,,,69.73,
268,dr congo,,107.77,,,,,82.42,,,,110.84,
